program_id,start_date,end_date,site,duration_type,post_count,comment_count,post_user_count,comment_user_count,metoo_count,positive_post_count,negative_post_count,positive_comment_count,negative_comment_count,positive_post_user_count,negative_post_user_count,positive_comment_user_count,negative_comment_user_count,score,rank,register_date,update_date,positive_post_rate,negative_post_rate,positive_post_user_rate,negative_post_user_rate,negative_positive_post_rate,negative_positive_post_user_rate,nation,category,channel,air_cycle
kbs2_happysunday_men,20110815,20110821,me2day,weekly,80,1845,69,1,15,4,,,,4,,,,0.114488955,19,2011-09-26 16:54,2011-09-26 16:54,0.05,,0.058,,,,KO,entertain,KBS2,SUN
kbs2_happysunday_men,20110822,20110828,me2day,weekly,45,364,44,148,140,2,,22,3,2,,14,2,0.11341338,22,2011-09-26 16:54,2011-09-26 16:54,0.0444,,0.0455,,,,KO,entertain,KBS2,SUN
kbs2_happysunday_men,20110905,20110911,me2day,weekly,43,117,39,,25,4,2,,,4,2,,,0.112770885,18,2011-09-26 16:54,2011-09-26 16:54,0.093,0.0465,0.1026,0.0513,0.5,0.5,KO,entertain,KBS2,SUN
kbs2_happysunday_men,20110919,20110925,me2day,weekly,93,1069,80,1,20,,,,,,,,,0.1151331,16,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,entertain,KBS2,SUN
kbs2_happysunday_men,20110919,20110925,twitter,weekly,711,,597,,,,,,,,,,,711,13,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,entertain,KBS2,SUN
kbs2_ojakkyo,20110815,20110821,me2day,weekly,71,44,54,,7,3,1,,,3,1,,,0.114021419,20,2011-09-26 16:54,2011-09-26 16:54,0.0423,0.0141,0.0556,0.0185,0.3333,0.3333,KO,drama,KBS2,"SAT,SUN"
kbs2_ojakkyo,20110822,20110828,me2day,weekly,65,138,54,,45,1,1,,,1,1,,,0.113915865,20,2011-09-26 16:54,2011-09-26 16:54,0.0154,0.0154,0.0185,0.0185,1,1,KO,drama,KBS2,"SAT,SUN"
kbs2_ojakkyo,20110905,20110911,me2day,weekly,54,9,36,,4,2,,,,2,,,,0.113195908,15,2011-09-26 16:54,2011-09-26 16:54,0.037,,0.0556,,,,KO,drama,KBS2,"SAT,SUN"
kbs2_ojakkyo,20110919,20110925,me2day,weekly,66,498,55,,6,,,,,,,,,0.113778062,19,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,drama,KBS2,"SAT,SUN"
kbs2_ojakkyo,20110919,20110925,twitter,weekly,375,,254,,,,,,,,,,,375,15,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,drama,KBS2,"SAT,SUN"
kbs2_poseidon,20110919,20110925,me2day,weekly,541,819,360,119,135,,,,,,,,,0.137058715,8,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,drama,KBS2,"MON,TUE"
kbs2_poseidon,20110919,20110925,twitter,weekly,2632,,1767,,,,,,,,,,,2632,5,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,drama,KBS2,"MON,TUE"
kbs2_princess,20110815,20110821,me2day,weekly,597,2121,421,92,197,40,11,6,3,40,11,6,3,0.140025969,9,2011-09-26 16:54,2011-09-26 16:54,0.067,0.0184,0.095,0.0261,0.275,0.275,KO,drama,KBS2,"WED,THU"
kbs2_princess,20110822,20110828,me2day,weekly,440,1376,347,,184,33,6,,,32,6,,,0.132472088,7,2011-09-26 16:54,2011-09-26 16:54,0.075,0.0136,0.0922,0.0173,0.1818,0.1875,KO,drama,KBS2,"WED,THU"
kbs2_princess,20110905,20110911,me2day,weekly,64,3299,56,,47,13,,,,13,,,,0.113877659,10,2011-09-26 16:54,2011-09-26 16:54,0.2031,,0.2321,,,,KO,drama,KBS2,"WED,THU"
kbs2_princess,20110919,20110925,me2day,weekly,575,3176,416,77,122,,,,,,,,,0.138619354,6,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,drama,KBS2,"WED,THU"
kbs2_princess,20110919,20110925,twitter,weekly,2002,,1237,,,,,,,,,,,2002,7,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,drama,KBS2,"WED,THU"
