user,create_date,total_tweet_count,positive_tweet_count,negative_tweet_count
realDonaldTrump,2011-05-21,1,1,0
realDonaldTrump,2011-05-24,7,2,0
realDonaldTrump,2011-05-25,2,2,0
realDonaldTrump,2011-05-27,2,1,0
realDonaldTrump,2011-06-02,2,1,0
realDonaldTrump,2011-06-03,1,0,0
realDonaldTrump,2011-06-06,1,0,0
realDonaldTrump,2011-06-08,1,0,0
realDonaldTrump,2011-06-10,1,1,0
realDonaldTrump,2011-06-15,2,1,0
realDonaldTrump,2011-06-17,1,1,1
realDonaldTrump,2011-06-20,1,0,1
realDonaldTrump,2011-06-21,2,1,1
realDonaldTrump,2011-06-22,2,1,0
realDonaldTrump,2011-06-24,3,2,1
realDonaldTrump,2011-06-25,1,0,0
realDonaldTrump,2011-06-27,1,0,0
realDonaldTrump,2011-06-28,1,0,0
realDonaldTrump,2011-06-30,2,1,0
realDonaldTrump,2011-07-02,2,1,0
realDonaldTrump,2011-07-06,5,3,1
realDonaldTrump,2011-07-07,3,2,0
realDonaldTrump,2011-07-08,3,0,3
TechCrunch,2011-05-13,30,11,1
TechCrunch,2011-05-14,19,5,1
TechCrunch,2011-05-15,8,1,2
TechCrunch,2011-05-16,23,3,1
TechCrunch,2011-05-17,36,7,2
TechCrunch,2011-05-18,31,5,1
TechCrunch,2011-05-19,34,8,2
TechCrunch,2011-05-20,33,12,0
TechCrunch,2011-05-21,14,1,1
TechCrunch,2011-05-22,12,4,0
TechCrunch,2011-05-23,43,9,3
TechCrunch,2011-05-24,56,10,1
TechCrunch,2011-05-25,60,17,2
TechCrunch,2011-05-26,35,15,0
TechCrunch,2011-05-27,22,4,1
TechCrunch,2011-05-28,21,3,3
TechCrunch,2011-05-29,10,0,0
TechCrunch,2011-05-30,9,0,1
TechCrunch,2011-05-31,22,3,1
TechCrunch,2011-06-01,45,9,3
TechCrunch,2011-06-02,38,12,1
TechCrunch,2011-06-03,33,9,2
TechCrunch,2011-06-04,33,5,3
TechCrunch,2011-06-05,10,2,0
TechCrunch,2011-06-06,20,4,1
TechCrunch,2011-06-07,60,11,3
TechCrunch,2011-06-08,50,16,4
TechCrunch,2011-06-09,52,14,1
TechCrunch,2011-06-10,43,9,2
TechCrunch,2011-06-11,24,5,2
TechCrunch,2011-06-12,8,2,2
TechCrunch,2011-06-13,19,0,1
TechCrunch,2011-06-14,27,6,5
TechCrunch,2011-06-15,44,15,3
TechCrunch,2011-06-16,46,15,4
TechCrunch,2011-06-17,40,9,8
TechCrunch,2011-06-18,22,5,1
TechCrunch,2011-06-19,7,1,1
TechCrunch,2011-06-20,22,3,1
TechCrunch,2011-06-21,38,10,1
TechCrunch,2011-06-22,49,10,2
TechCrunch,2011-06-23,39,10,3
TechCrunch,2011-06-24,34,6,3
TechCrunch,2011-06-25,23,9,5
TechCrunch,2011-06-26,7,0,3
TechCrunch,2011-06-27,17,2,3
TechCrunch,2011-06-28,35,6,1
TechCrunch,2011-06-29,49,14,3
TechCrunch,2011-06-30,47,11,3
TechCrunch,2011-07-01,26,4,2
TechCrunch,2011-07-02,23,5,2
TechCrunch,2011-07-03,8,0,0
TechCrunch,2011-07-04,17,4,1
TechCrunch,2011-07-05,13,1,0
TechCrunch,2011-07-06,40,11,5
TechCrunch,2011-07-07,39,12,2
TechCrunch,2011-07-08,33,8,2
